A¤o;C¢d_loc;localidad;Sector publico;sector_privado;denominador;Cobertura
2024;11;Suba;55941;63563;161411;74
2024;12;Barrios Unidos;6419;42420;42062;116,1
2024;13;Teusaquillo;1499;17069;26387;70,4
2024;14;Los M rtires;4454;5215;17390;55,6
2024;15;Antonio Nari¤o;5493;11331;18490;91
2024;16;Puente Aranda;10347;14601;52919;47,1
2024;17;Candelaria;1496;1550;5651;53,9
2024;18;Rafael Uribe;41577;9450;68678;74,3
2024;19;Ciudad Bol¡var;85223;13207;137834;71,4
2024;20;Sumapaz;352;0;690;51
2024;0;Distrito;511736;408323;1473352;62,4
2025;1;Usaqu‚n;23553;42895;217674;30,5
2025;2;Chapinero;6628;8313;73264;20,4
2025;3;Santa Fe;8516;1758;62704;16,4
2025;4;San Cristobal;38392;9192;255932;18,6
2025;5;Usme;37885;6531;178011;25
2025;6;Tunjuelito;12750;6671;67579;28,7
2025;7;Bosa;58290;18807;346634;22,2
2025;8;Kennedy;64521;43423;458935;23,5
2025;9;Fontib¢n;16811;22386;153516;25,5
2025;10;Engativ ;70204;40764;336128;33
2025;11;Suba;83044;57402;473367;29,7
2025;12;Barrios Unidos;5055;28664;45659;73,8
2025;13;Teusaquillo;2976;14732;50985;34,7
2025;14;Los M rtires;5000;3539;33571;25,4
2025;15;Antonio Nari¤o;5051;9460;33642;43,1
2025;16;Puente Aranda;10482;14017;142359;17,2
2025;17;Candelaria;1016;503;6297;24,1
2025;18;Rafael Uribe;32932;9164;203324;20,7
2025;19;Ciudad Bol¡var;69307;8597;326322;23,9
2025;20;Sumapaz;869;0;725;119,9
2025;0;Distrito;553282;346818;3466628;26
